gender,age,occupation,education,income,children,ethnicity,ev_owner,ev_count,ev_motivation,ev_type,ev_model,ev_range,ev_experience,public_charging_frequency,charger_compatibility,home_type,home_charging_method,daily_trips,trip_purpose,parking_location,parking_duration,daily_distance,max_wait_time,preferred_charge_time,location_flexibility,weekly_charge_frequency,avg_charge_duration,info_preference,walking_distance,ac_vs_dc_preference,charger_choice_reason,travel_to_charger,satisfaction_score,memorable_experience,difficulty_finding_station,accessibility_importance,station_choice_factors,improvement_suggestions,facility_improvement_ideas,statements_agreement,user_involvement_belief,charging_effect_on_time,recharge_threshold,future_features,long_trip_planning,newcastle_distribution_rating,parking_habits_effect,parking_convenience,pc
Female,65+,Retired,Bachelor's degree,"£50,001 - £70,000",No children aged 18 or under,White,Yes,2,Cost savings,Battery EV (exclusively powered by a rechargeable battery),"Hyundai Ioniq, Nissan Leaf",400-500 km,More than 3 years,Rarely,Not sure,Single family house/townhouse with dedicated parking,Portable Level 2 charging station,1 to 2,"Leisure, Errands",Home,More than 8 hours,10km to 30km,< 10 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),3 to 4 times,1 to 3 hours,In-car navigation system,1km to 2km,DC Charger,Availability of charger on-route.,1km to 3km,3.0,Someone unplugging my car from a public charger and plugging in their car,Yes,4.0,"Proximity to my destination, Availability of fast charging, Cost of charging, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops)",More available charging bays,Increase the number of charging stations,I charge my vehicle when I need to regardless of peak energy usage hours.,Yes,Increases travel time significantly.,20% - 40%,More well lit and open spaces,I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,Slightly less convenient,NE3
Female,35-44,Employed,Bachelor's degree,"£35,001 - £50,000",Yes - children aged under 5 years old,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),200-300 km,More than 3 years,Rarely,Not sure,Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,3 to 4,"Work/School, Leisure",Home,1 to 3 hours,10km to 30km,< 10 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,1 to 3 hours,In-car navigation system,1km to 2km,AC Charger,Cost.,3km to 6km,5.0,Trying to use an Insta volt at a vista and struggling to get it to work in full view of the shop ,Yes,3.0,"Proximity to my destination, Availability of fast charging, Cost of charging",Make one app for all ,Improve reliability and maintenance of existing stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly increases travel time.,Below 20%,One app to use all. It’s no go having to download a new one and figure out how to get it to work,I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,3.0,No impact on my parking habits.,No difference,DL2
Female,45-54,Self-employed,Some college,"Over £70,000",Yes - children aged 16 to 18 years old,White,Yes,2,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),400-500 km,More than 3 years,Rarely,Supercharger (Tesla),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,"Work/School, Leisure, Errands, Returning Home",Home,1 to 3 hours,10km to 30km,< 10 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,1 to 3 hours,In-car navigation system,Less than 1km,DC Charger,Availability of charger at the end of next trip.,More than 9km,3.0,"Tesla supercharger at Ferrybridge, first time and was super easy.
",No,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops)",A good queueing system ,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly increases travel time.,20% - 40%,Card payments on all it an easy sign up on the spot for an account with that  charger provider,I choose charging stations that are conveniently located along my preferred route.,2.0,I can park closer to my destination.,Slightly less convenient,NE36 0
Male,25-34,Employed,Some college,"£20,000 - £35,000",Yes - children aged 5 to 10 years old,White,Yes,1,Technological interest,Battery EV (exclusively powered by a rechargeable battery),Tesla Model S,More than 500 km,More than 3 years,Weekly,Supercharger (Tesla),Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,"Work/School, Errands, Returning Home",Home,More than 8 hours,50km to 100km,< 10 minutes.,6pm to 12am,Flexible (can be a major detour),3 to 4 times,1 to 3 hours,Mobile app,1km to 2km,DC Charger,Duration of charge.,More than 9km,4.0,Arriving just as someone was leaving so I could instantly charge the car and then go about my business that day saving me time from waiting.,No,4.0,"Proximity to my destination, Availability of fast charging, Amenities available nearby (e.g., restrooms, shops)",Better apps that work well.,Increase the number of charging stations,I charge my vehicle when I need to regardless of peak energy usage hours.,Yes,No impact on travel time.,Below 20%,Built in timer for the app so I know how long is left before it's charged so I can make my way back.,I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,Slightly more convenient,DH3
Female,25-34,Employed,Bachelor's degree,"£50,001 - £70,000",Yes - children aged 5 to 10 years old,White,Yes,1,Other (please specify),Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Other (please specify),200-300 km,6 months - 1 year,Never,Not sure,Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,3 to 4,Work/School,Workplace,More than 8 hours,10km to 30km,< 10 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),Every day to the week,1 to 3 hours,Mobile app,1km to 2km,AC Charger,Cost.,Less than 1km,2.0,I’ve never used a public charging station. They are way more expensive than me charging it at home. ,No,1.0,Cost of charging,They’re fine other than the price. ,Provide incentives for EV owners to share private charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,No impact on travel time.,20% - 40%,Coffee machine maybe ,I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,3.0,No impact on my parking habits.,No difference,TS17
Female,25-34,Employed,Bachelor's degree,"£20,000 - £35,000",No children aged 18 or under,Black / African / Caribbean / Black British,Yes,1,Technological interest,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Nissan Leaf,200-300 km,6 months - 1 year,Weekly,CHAdeMO,Rental apartment in high-rise building,Shared Level 2 charging station,1 to 2,"Work/School, Leisure, Returning Home",Home,1 to 3 hours,30km to 50km,10 to 20 minutes.,12pm to 6pm,Flexible (can be a major detour),3 to 4 times,3 to 6 hours,Online map,1km to 2km,DC Charger,Duration of charge.,3km to 6km,4.0,"We were all waiting to charge our EV and while we were there, a stranger came and shared snacks and we had drinks to go with it and there was a karaoke also and I even had to wait long after I was done charging to hang out more with the guys. ",Yes,4.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface, Environmental considerations (e.g., renewable energy sources)","I believe there should be more availability of chargers and they should be faster chargers, at an economical rate. also, there should be all time availability of customer care. ",Improve reliability and maintenance of existing stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Slightly reduces travel time.,40% - 60%,"better charging speed, user friendly interface, more accessibility ",I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,Slightly more convenient,SR4
Male,35-44,Employed,Bachelor's degree,"£50,001 - £70,000",Yes - children aged 11 to 15 years old,Asian / Asian British,Yes,1,Technological interest,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),300-400 km,1-3 years,Never,Not sure,Single family house/townhouse with dedicated parking,I don’t know. It is a box on the wall.,1 to 2,"Work/School, Returning Home",Home,More than 8 hours,10km to 30km,< 10 minutes.,6am to 12pm,Not flexible (must be very close to usual routes),1 to 2 times,1 to 3 hours,Online map,Less than 1km,AC Charger,Cost.,Less than 1km,1.0,Never use one as they are expensive than charging at home/work. Why should I use them!,No,5.0,"Proximity to my destination, Cost of charging, User-friendly interface, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops)",Cost no less than charge at home or I won’t use them.,Increase the number of charging stations,I will wait to charge my vehicle when the cost is at its lowest.,Yes,Increases travel time significantly.,20% - 40%,No membership restriction on tariff. Electricity unit cost available on line. ,I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,1.0,No impact on my parking habits.,No difference,NE15
Male,55-64,Retired,High school diploma,"Less than £20,000",No children aged 18 or under,White,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),400-500 km,1-3 years,Rarely,Not sure,Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,3 to 4,Errands,Home,5 to 8 hours,30km to 50km,< 10 minutes.,12am to 6am,Not flexible (must be very close to usual routes),1 to 2 times,More than 6 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,1km to 3km,4.0,First time I used public charger found it very confusing having to down load apps then deposit money ,No,5.0,Availability of fast charging,More fast chargers,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Increases travel time significantly.,20% - 40%,Shopping outlets,I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,4.0,No impact on my parking habits.,Slightly more convenient,NE1
Female,25-34,Employed,Master's degree,"£35,001 - £50,000",Yes - children aged under 5 years old,White,Yes,2,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),"Kia Niro, Tesla Model X",200-300 km,6 months - 1 year,Weekly,Supercharger (Tesla),"Rental apartment in low-rise building (e.g., duplex, triplex, basement apartment)",Shared Level 2 charging station,3 to 4,"Work/School, Errands",Home,5 to 8 hours,10km to 30km,< 10 minutes.,12pm to 6pm,Somewhat flexible (can be a minor detour),3 to 4 times,3 to 6 hours,Mobile app,Less than 1km,AC Charger,Duration of charge.,1km to 3km,3.0,"Pulled up at the same time as someone and they let me go first 
",Yes,4.0,Cost of charging,More available ,Increase the number of charging stations,I charge my vehicle when I need to regardless of peak energy usage hours.,Yes,No impact on travel time.,40% - 60%,Toilets,I choose charging stations that are conveniently located along my preferred route.,4.0,I can park closer to my destination.,Slightly more convenient,NE3
Male,25-34,Employed,Some college,"£50,001 - £70,000",Yes - children aged 5 to 10 years old,White,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),"Audi e-tron #, Other (please specify)",Less than 100 km,6 months - 1 year,Monthly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,3 to 4,"Work/School, Errands",Home,1 to 3 hours,30km to 50km,< 10 minutes.,6am to 12pm,Not flexible (must be very close to usual routes),5 to 6 times,1 to 3 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,Less than 1km,1.0,Infrastructure isn't there yet for EV charging. And petrol cars still use those spaces,Yes,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops)",More availability of working chargers ,Improve reliability and maintenance of existing stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Increases travel time significantly.,20% - 40%,All mention in the above survey question 40,I choose charging stations that are conveniently located along my preferred route.,3.0,I have to park further from my destination.,Slightly less convenient,NE2
Female,35-44,Employed,Bachelor's degree,"Over £70,000",Yes - children aged 11 to 15 years old,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),400-500 km,1-3 years,Rarely,Not sure,Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,"Work/School, Leisure",Home,Less than 1 hour,Less than 10km,< 10 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,More than 6 hours,In-car navigation system,1km to 2km,DC Charger,Duration of charge.,Less than 1km,5.0,Negative. Someone else stopped the charging on my car,No,5.0,"Proximity to my destination, Availability of fast charging, Amenities available nearby (e.g., restrooms, shops)",More fast chargers ,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly reduces travel time.,20% - 40%,Time alert ,I choose charging stations that are conveniently located along my preferred route.,4.0,No impact on my parking habits.,No difference,NE6
Female,45-54,Employed,Bachelor's degree,"£35,001 - £50,000",Yes - children aged 16 to 18 years old,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),100-200 km,1-3 years,Monthly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse without dedicated parking,I do not charge at home,3 to 4,"Work/School, Errands, Returning Home",Workplace,5 to 8 hours,10km to 30km,10 to 20 minutes.,12pm to 6pm,Somewhat flexible (can be a minor detour),3 to 4 times,1 to 3 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,1km to 3km,4.0,my nearest charging station. Is very accessible and easy to charge - I haven’t had a negative experience here,No,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging, Amenities available nearby (e.g., restrooms, shops)",Maybe a signal to show how long the car charging has left - like a RAG rating ,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly increases travel time.,20% - 40%,Toilets,I plan my route entirely around charging stations.,3.0,No impact on my parking habits.,No difference,NE3
Male,25-34,Student,Master's degree,"£50,001 - £70,000",No children aged 18 or under,White,Yes,1,Environmental concerns,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Volkswagen e-Golf,200-300 km,Less than 6 months,Daily,Not sure,Single family house/townhouse with dedicated parking,Shared DC fast charger,1 to 2,Work/School,Home,More than 8 hours,50km to 100km,10 to 20 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),3 to 4 times,More than 6 hours,In-car navigation system,Less than 1km,DC Charger,Duration of charge.,6km to 9km,2.0,"
N/A",Yes,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface, Safety and security of the location",Availability increase,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Slightly increases travel time.,20% - 40%,Toilets,I choose charging stations that are conveniently located along my preferred route.,2.0,I have to park further from my destination.,Slightly less convenient,TS1
Male,35-44,Self-employed,Master's degree,"Over £70,000",Yes - children aged under 5 years old,White,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Toyota Prius,Less than 100 km,Less than 6 months,Rarely,My EV is not capable of DC fast charging,Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,Work/School,Home,More than 8 hours,10km to 30km,10 to 20 minutes.,6am to 12pm,Not flexible (must be very close to usual routes),1 to 2 times,3 to 6 hours,Online map,1km to 2km,DC Charger,Duration of charge.,1km to 3km,3.0,Many cars charging,No,3.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface, Safety and security of the location",Faster,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Increases travel time significantly.,20% - 40%,"Fast charge,no magnetic fields",I plan my route entirely around charging stations.,2.0,I have to park further from my destination.,Slightly more convenient,NE34
Male,35-44,Employed,Bachelor's degree,"£50,001 - £70,000",No children aged 18 or under,White,Yes,1,Technological interest,Battery EV (exclusively powered by a rechargeable battery),Tesla Model 3,400-500 km,More than 3 years,Weekly,Supercharger (Tesla),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,3 to 4,"Work/School, Leisure, Errands",Home,5 to 8 hours,30km to 50km,20 to 30 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,3 to 6 hours,In-car navigation system,1km to 2km,DC Charger,Duration of charge.,More than 9km,3.0,Tesla Superchargers are always working reliably and are very easy to connect to.,Yes,4.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface",Do away with annoying apps and long handshake times.,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly increases travel time.,60% - 80%,Easy and quick contactless payment or 'hands free' payment using a preinstalled app on phone.,I choose charging stations that are conveniently located along my preferred route.,2.0,No impact on my parking habits.,No difference,NE2
Male,18-24,Employed,Master's degree,"Over £70,000",No children aged 18 or under,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Tesla Model 3,200-300 km,6 months - 1 year,Weekly,Not sure,Single family house/townhouse without dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,Work/School,Home,5 to 8 hours,30km to 50km,10 to 20 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),3 to 4 times,3 to 6 hours,In-car navigation system,1km to 2km,DC Charger,Duration of charge.,1km to 3km,3.0,When my local council provided electricity for free for all EV drivers in the city centre and reduced price parking,No,,"Proximity to my destination, Availability of fast charging, Cost of charging","More free facilities, such as air for tyres, water for screen wash.",Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly reduces travel time.,20% - 40%,Free amenities such as water and air,I choose charging stations that are conveniently located along my preferred route.,4.0,I can park closer to my destination.,Slightly more convenient,NE2
Male,35-44,Employed,Some college,"£50,001 - £70,000",Yes - children aged 16 to 18 years old,White,Yes,2,Cost savings,Battery EV (exclusively powered by a rechargeable battery),"Tesla Model 3, Other (please specify)",300-400 km,More than 3 years,Weekly,Supercharger (Tesla),Single family house/townhouse without dedicated parking,I do not charge at home,1 to 2,Work/School,Home,More than 8 hours,10km to 30km,10 to 20 minutes.,6am to 12pm,Somewhat flexible (can be a minor detour),1 to 2 times,3 to 6 hours,Mobile app,2km to 3km,AC Charger,Cost.,6km to 9km,1.0,"When they break, they hardly ever get fixed up again. BP Pulse. I'm looking at you ",Yes,1.0,"Availability of fast charging, Cost of charging, Amenities available nearby (e.g., restrooms, shops)",Pricing always in site,Increase the number of charging stations,I will wait to charge my vehicle when the cost is at its lowest.,Yes,Slightly increases travel time.,20% - 40%,More chargers,I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,No difference,SR8
Male,55-64,Retired,Bachelor's degree,"Over £70,000",No children aged 18 or under,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),300-400 km,More than 3 years,Rarely,Not sure,Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),3 to 4,Work/School,Home,5 to 8 hours,More than 100km,10 to 20 minutes.,Unknown,Not flexible (must be very close to usual routes),3 to 4 times,More than 6 hours,Mobile app,1km to 2km,AC Charger,Cost.,Less than 1km,1.0,On a journey to Dorset surprised how easy it was to find a charger south of Derby,Yes,5.0,"Availability of fast charging, Amenities available nearby (e.g., restrooms, shops)",,Increase the number of charging stations,I will wait to charge my vehicle when the cost is at its lowest.,Yes,Increases travel time significantly.,60% - 80%,More of them and decent facilities nearby,I plan my route entirely around charging stations.,1.0,I can park closer to my destination.,Slightly less convenient,NE66
Male,35-44,Employed,Master's degree,"£35,001 - £50,000",Yes - children aged under 5 years old,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),200-300 km,Less than 6 months,Rarely,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,3 to 4,"Work/School, Leisure, Errands, Returning Home",Home,More than 8 hours,10km to 30km,20 to 30 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,3 to 6 hours,Mobile app,2km to 3km,DC Charger,Duration of charge.,3km to 6km,3.0,Bit fiddly having to download app but worked.,Yes,4.0,"Proximity to my destination, Availability of fast charging",One app for all,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,No impact on travel time.,20% - 40%,One app for all chargers,I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,Slightly less convenient,SR4
Female,45-54,Employed,Bachelor's degree,"£50,001 - £70,000",Yes - children aged 16 to 18 years old,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),200-300 km,More than 3 years,Rarely,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,3 to 4,"Work/School, Leisure, Errands, Returning Home",Home,3 to 5 hours,30km to 50km,10 to 20 minutes.,12pm to 6pm,Somewhat flexible (can be a minor detour),5 to 6 times,3 to 6 hours,In-car navigation system,Less than 1km,DC Charger,Duration of charge.,1km to 3km,5.0,I was trying to get a charge in a remote area. There was another ev user at the charger who showed me that I could use fast charger by removing the rubber cover from my type 2 port. Before that I thought I could only do slow charges. There is often a camaraderie amongst ev users.,Yes,3.0,"Proximity to my destination, Availability of fast charging, Cost of charging, Safety and security of the location",A ev charging attendant who could assist with setting up the charge and inform you of when you can expect the to get a slot if there is a queue. They could also help manage the queue during busy periods ,Improve reliability and maintenance of existing stations,It is more convenient to charge my vehicle directly after ending every trip.,Yes,,20% - 40%,"You should be able to see if they are working or if there are spaces from the roadside ie, before you enter a motorway service station. ",I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,3.0,No impact on my parking habits.,No difference,DL5
Male,35-44,Employed,Bachelor's degree,"Over £70,000",Yes - children aged 11 to 15 years old,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Hyundai Ioniq,200-300 km,6 months - 1 year,Monthly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,Work/School,Home,5 to 8 hours,30km to 50km,< 10 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),3 to 4 times,More than 6 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,3km to 6km,4.0,"The first time I used a public charger I couldn't get the charge to stop at the end so the cable wouldn't disconnect from the car. After a moment of panic I called the number on the charging station and a women on the phone ended the charge session remotely, it was a simple process.",No,2.0,"Proximity to my destination, Availability of fast charging, Cost of charging, Amenities available nearby (e.g., restrooms, shops)",More amenities nearby and more shelter over the charging stations to keep rain off.,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Not sure,No impact on travel time.,20% - 40%,"Seating area with toilets, coffee etc. Rain shelter over the chargers themselves.",I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,No difference,DH3
Female,25-34,Employed,Bachelor's degree,"£35,001 - £50,000",Yes - children aged 5 to 10 years old,White,Yes,1,Cost savings,,Hyundai Ioniq,200-300 km,6 months - 1 year,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse without dedicated parking,I do not charge at home,1 to 2,Work/School,Home,5 to 8 hours,30km to 50km,> 30 minutes.,6am to 12pm,Somewhat flexible (can be a minor detour),3 to 4 times,3 to 6 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,1km to 3km,5.0,When i first started charging my car I struggled to get the charger to work in a public supermarket,Yes,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging",Less complicated,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,No impact on travel time.,40% - 60%,,I choose charging stations that are conveniently located along my preferred route.,4.0,I can park closer to my destination.,Much more convenient,TS2
Male,45-54,Employed,Some college,"£35,001 - £50,000",Yes - children aged 11 to 15 years old,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Nissan Leaf,200-300 km,1-3 years,Monthly,CHAdeMO,Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,3 to 4,"Work/School, Leisure, Errands, Returning Home",Home,More than 8 hours,50km to 100km,20 to 30 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),5 to 6 times,3 to 6 hours,Mobile app,2km to 3km,DC Charger,Duration of charge.,6km to 9km,2.0,"Onholiday in scotland i had issues getting a public fast charger to connect to my vehicle and start charging. The charger showed that it recognised my credit card and approved the charge but did not deliver. I would have been stuck using a slower charger for a duration of 4 hours insted of approximately 45 minutes, this would have resulted in missing check in time at the holiday accomodation. I was helped by a good samaritan who used their RFID card to start charging on my behalf and who i then reimbursed with cash.",Yes,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface, Safety and security of the location, availability of ChadEmo type connector",More charging stations. Have a universal interface (for example using a credit cared to start charging) instead of having multiple phone apps for various suppliers,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Not sure,Increases travel time significantly.,Below 20%,More rapid charging station and better signage to locate them,I choose charging stations that are conveniently located along my preferred route.,2.0,No impact on my parking habits.,Slightly less convenient,NE6
Female,35-44,Employed,Bachelor's degree,"Over £70,000",Yes - children aged under 5 years old,White,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),100-200 km,Less than 6 months,Never,Not sure,Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,Work/School,Home,More than 8 hours,10km to 30km,10 to 20 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,3 to 6 hours,In-car navigation system,1km to 2km,DC Charger,Duration of charge.,1km to 3km,2.0,So much more expensive than charging at home ,Yes,2.0,"Proximity to my destination, Availability of fast charging, Cost of charging, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops)",People being forced to move their cars when fully charged ,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,No impact on travel time.,Below 20%,Faster charge ,I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,Much less convenient,TS7
Male,45-54,Employed,Bachelor's degree,"£35,001 - £50,000",No children aged 18 or under,White,Yes,1,Government incentives,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Audi e-tron #,Less than 100 km,More than 3 years,Rarely,Not sure,Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),3 to 4,"Work/School, Errands",Home,5 to 8 hours,30km to 50km,< 10 minutes.,6pm to 12am,Not flexible (must be very close to usual routes),Every day to the week,More than 6 hours,Mobile app,1km to 2km,DC Charger,Duration of charge.,1km to 3km,1.0,Travelled to charging station showing on app as available to find vehicle parked in bay not using charger.,Yes,1.0,"Proximity to my destination, Cost of charging, Amenities available nearby (e.g., restrooms, shops)",Increased availability and lower cost in comparison to petrol,Increase the number of charging stations,It is more convenient to charge my vehicle directly after ending every trip.,No,No impact on travel time.,20% - 40%,Public toilets nearby,I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,2.0,No impact on my parking habits.,Slightly less convenient,NE34
Female,35-44,Employed,High school diploma,"Over £70,000",Yes - children aged 11 to 15 years old,White,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Other (please specify),100-200 km,Less than 6 months,Monthly,Not sure,Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,"Work/School, Leisure, Errands, Returning Home",Home,3 to 5 hours,10km to 30km,10 to 20 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,More than 6 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,3km to 6km,4.0,"A memorable experience for me was when a new public charging station was fitted in my town, it was the first one to be fitted (more have since been added), meaning that I could charge if needed whilst shopping. ",No,4.0,"Proximity to my destination, Cost of charging, Safety and security of the location",More of them in busy locations. ,Allow for longer charging sessions,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly increases travel time.,20% - 40%,If there was the ability to wirelessly charge that would be amazing!,I choose charging stations that are conveniently located along my preferred route.,4.0,No impact on my parking habits.,No difference,NE6
